timestamp,hex,flight,squawk,emergency,lat,lon,alt_baro,alt_geom,gs,track,baro_rate,rssi,nic,rc,sil,nac_p,nav_qnh,nav_altitude_mcp,seen
2026-02-02T18:30:26.336277+00:00,4601f5,FIN527,2505,none,,,23500,,,,512,-32.9,,,0,0,1012.8,24000,0.0
2026-02-02T18:30:26.336277+00:00,4601f8,FIN5EM,0406,none,,,18000,,,,0,-28.0,,,0,0,1012.8,10016,0.0
2026-02-02T18:30:27.350586+00:00,4ab56c,SAS1749,0221,none,59.571487,22.207855,22000,21100,274.8,274.38,0,-36.6,8,186,3,9,1013.6,22016,0.0
2026-02-02T18:30:27.350586+00:00,461f49,FIN2WA,2344,none,59.5344,22.505872,25100,24125,375.1,59.74,-1728,-35.9,8,186,3,10,1013.6,10016,0.0
2026-02-02T18:30:27.350586+00:00,461f9a,FIN8YL,6022,none,60.200888,24.654792,2750,2925,198.6,118.24,-512,-25.1,7,371,3,9,1024.8,2592,0.0
2026-02-02T18:30:27.350586+00:00,461e21,FIN7PJ,6020,none,,,39000,,458.0,184.92,64,-37.9,,,0,0,1013.6,25024,0.0
2026-02-02T18:30:27.350586+00:00,4601fd,FIN8PK,2506,none,,,13225,,,,960,-25.4,,,0,0,1012.8,24000,0.0
2026-02-02T18:30:27.350586+00:00,4cae4a,RYR9856,4521,none,,,22650,,372.0,196.17,1920,-36.4,,,3,0,1013.6,36000,0.0
2026-02-02T18:30:27.350586+00:00,467527,,,none,,,,,,,,-12.6,,,,,,,0.0
2026-02-02T18:30:27.350586+00:00,4677f2,T40A04,,none,,,,,,,,-28.1,,,,,,,0.0
2026-02-02T18:30:27.350586+00:00,4677fd,TTN,2000,none,,,ground,,,,,-18.9,,,,,,,0.0
2026-02-02T18:30:27.350586+00:00,4677f4,T40A06,,none,,,,,,,,-16.4,,,,,,,0.0
2026-02-02T18:30:27.350586+00:00,467525,,,none,,,,,,,,-18.4,,,,,,,0.0
2026-02-02T18:30:27.350586+00:00,46770f,T40A14,,none,,,,,,,,-14.4,,,,,,,0.0
2026-02-02T18:30:27.350586+00:00,467524,,,none,,,,,,,,-10.5,,,,,,,0.0
2026-02-02T18:30:27.350586+00:00,467529,,,none,,,,,,,,-12.5,,,,,,,0.0
2026-02-02T18:30:27.350586+00:00,467523,,,none,,,,,,,,-13.1,,,,,,,0.0
2026-02-02T18:30:27.350586+00:00,151e16,,,none,,,,,,,,-38.2,,,,,,,12.3
2026-02-02T18:30:27.350586+00:00,461f65,FIN5LA,6014,none,,,ground,,,,,-20.7,,,3,9,,,0.0
2026-02-02T18:30:27.350586+00:00,152072,SVR168,6631,none,,,36975,,450.0,111.45,0,-36.4,,,0,0,1012.8,36992,0.0
2026-02-02T18:30:27.350586+00:00,4601f5,FIN527,2505,none,,,23500,,,,512,-38.2,,,0,0,1012.8,24000,0.0
2026-02-02T18:30:27.350586+00:00,4601f8,FIN5EM,0406,none,,,18000,,,,0,-27.8,,,0,0,1012.8,10016,0.0
2026-02-02T18:30:28.357516+00:00,4ab56c,SAS1749,0221,none,59.57234,22.18509,22000,21100,274.8,274.38,-64,-37.2,8,186,3,9,1013.6,22016,0.0
2026-02-02T18:30:28.357516+00:00,461f49,FIN2WA,2344,none,59.532028,22.497894,25175,24200,376.0,59.82,-1728,-36.1,8,186,3,10,1013.6,10016,0.0
2026-02-02T18:30:28.357516+00:00,461f9a,FIN8YL,6022,none,60.200867,24.655877,2750,2900,192.0,106.64,-512,-20.3,7,371,3,9,1024.8,2592,0.0
2026-02-02T18:30:28.357516+00:00,461e21,FIN7PJ,6020,none,,,39000,,458.0,184.92,64,-36.9,,,0,0,1013.6,25024,0.0
2026-02-02T18:30:28.357516+00:00,4601fd,FIN8PK,2506,none,,,13325,,,,896,-25.8,,,0,0,1012.8,24000,0.0
2026-02-02T18:30:28.357516+00:00,4cae4a,RYR9856,4521,none,,,22800,,376.0,196.17,1920,-35.9,,,3,0,1013.6,36000,0.0
