timestamp,messages_total,aircraft_tracked,cpu_temp,signal_level,noise_level,peak_signal,max_distance,samples_dropped
timestamp,messages_total,aircraft_tracked,cpu_temp,signal_level,noise_level,peak_signal,max_distance,samples_dropped
2026-02-02T00:00:43.285361+00:00,1876651,1,11.187,-42.4,-39.3,-42.4,0,0
2026-02-02T00:01:43.289740+00:00,1876666,2,11.187,-42.2,-39.4,-42.2,0,0
2026-02-02T00:02:43.298923+00:00,1876805,2,11.187,-33.1,-39.4,-31.9,198859,0
2026-02-02T00:03:43.302905+00:00,1877069,1,10.7,-31.3,-39.4,-30.2,186200,0
2026-02-02T00:04:43.311759+00:00,1877465,1,10.7,-31.1,-39.5,-29.4,172449,0
2026-02-02T00:05:43.315950+00:00,1878007,1,10.7,-30.1,-39.4,-27.6,157752,0
2026-02-02T00:06:43.323495+00:00,1878652,1,10.7,-28.8,-39.4,-26.9,146340,0
2026-02-02T00:07:43.327655+00:00,1879234,1,10.7,-28.4,-39.4,-26.5,133591,0
2026-02-02T00:08:43.335635+00:00,1879693,1,10.213,-28.5,-39.4,-26.6,121506,0
2026-02-02T00:09:43.339667+00:00,1880192,1,11.674,-27.5,-39.4,-25.2,109750,0
2026-02-02T00:10:43.347968+00:00,1880783,1,11.674,-26.4,-39.3,-24.0,98613,0
2026-02-02T00:11:43.352222+00:00,1881434,1,10.7,-25.6,-39.3,-22.5,85546,0
2026-02-02T00:12:43.360092+00:00,1882069,1,11.674,-24.8,-39.3,-21.8,78287,0
2026-02-02T00:13:43.364232+00:00,1882661,1,10.7,-24.3,-39.3,-21.2,66857,0
2026-02-02T00:14:43.371713+00:00,1883204,1,11.187,-22.1,-39.1,-18.6,57346,0
2026-02-02T00:15:43.375690+00:00,1883758,1,10.213,-21.0,-39.3,-16.6,47481,0
2026-02-02T00:16:43.383700+00:00,1884281,1,10.7,-19.1,-39.2,-15.9,37888,0
2026-02-02T00:17:43.387764+00:00,1884781,1,10.7,-19.7,-39.3,-14.5,28804,0
2026-02-02T00:18:43.395504+00:00,1885240,1,10.7,-17.0,-39.2,-8.6,20707,0
2026-02-02T00:19:43.399928+00:00,1885732,1,10.7,-10.1,-38.2,-3.6,12953,0
2026-02-02T00:20:43.407500+00:00,1886239,1,10.213,-7.4,-37.6,-1.9,5725,0
2026-02-02T00:21:43.411624+00:00,1886746,1,10.213,-7.5,-38.0,-2.4,9383,0
2026-02-02T00:22:43.419865+00:00,1887196,1,10.213,-13.4,-39.0,-5.3,14548,0
2026-02-02T00:23:43.423916+00:00,1887422,1,10.213,-20.8,-39.4,-16.6,17141,0
2026-02-02T00:24:43.430848+00:00,1887434,1,11.187,-31.9,-39.4,-30.4,22036,0
2026-02-02T00:25:43.434950+00:00,1887438,0,11.187,-37.9,-39.5,-37.9,0,0
2026-02-02T00:26:43.442451+00:00,1887443,0,10.213,-39.5,-39.4,-39.5,0,0
2026-02-02T00:27:43.446857+00:00,1887448,0,10.213,-38.4,-39.5,-38.4,0,0
2026-02-02T00:28:43.454321+00:00,1887452,0,10.7,-41.0,-39.4,-41.0,0,0
2026-02-02T00:29:43.458793+00:00,1887456,0,11.187,-100,-39.4,-100,0,0
2026-02-02T00:30:43.466897+00:00,1887460,0,11.187,-37.4,-39.4,-36.7,0,0
2026-02-02T00:31:43.471297+00:00,1887466,0,10.7,-40.5,-39.5,-40.5,0,0
2026-02-02T00:32:43.478988+00:00,1887470,0,10.7,-100,-39.5,-100,0,0
2026-02-02T00:33:43.482942+00:00,1887474,0,10.213,-100,-39.5,-100,0,0
2026-02-02T00:34:43.492266+00:00,1887479,0,11.187,-37.6,-39.5,-34.7,0,0
2026-02-02T00:35:43.496456+00:00,1887483,0,10.213,-41.5,-39.5,-41.5,0,0
2026-02-02T00:36:43.503665+00:00,1887487,0,11.187,-39.6,-39.5,-39.6,0,0
2026-02-02T00:37:43.507836+00:00,1887491,0,11.187,-100,-39.5,-100,0,0
2026-02-02T00:38:43.516853+00:00,1887496,0,11.187,-40.3,-39.5,-39.1,0,0
2026-02-02T00:39:43.520926+00:00,1887500,0,11.187,-100,-39.5,-100,0,0
2026-02-02T00:40:43.529222+00:00,1887504,0,10.213,-100,-39.5,-100,0,0
2026-02-02T00:41:43.533081+00:00,1887509,0,10.7,-39.5,-39.5,-37.3,0,0
2026-02-02T00:42:43.537377+00:00,1887513,0,10.7,-100,-39.5,-100,0,0
2026-02-02T00:43:43.541733+00:00,1887518,0,10.7,-37.7,-39.5,-37.0,0,0
2026-02-02T00:44:43.546458+00:00,1887523,0,11.187,-42.4,-39.4,-42.4,0,0
2026-02-02T00:45:43.550621+00:00,1887527,0,11.187,-38.6,-39.5,-38.2,0,0
2026-02-02T00:46:43.555533+00:00,1887531,0,11.187,-38.9,-39.5,-38.9,0,0
2026-02-02T00:47:43.559507+00:00,1887536,0,11.187,-100,-39.4,-100,0,0
2026-02-02T00:48:43.564710+00:00,1887540,0,10.213,-100,-39.5,-100,0,0
2026-02-02T00:49:43.568747+00:00,1887544,0,10.7,-100,-39.5,-100,0,0
2026-02-02T00:50:43.576602+00:00,1887548,0,10.7,-39.7,-39.5,-39.7,0,0
2026-02-02T00:51:43.580793+00:00,1887552,0,10.7,-39.1,-39.5,-39.1,0,0
2026-02-02T00:52:43.585579+00:00,1887556,0,10.7,-38.9,-39.5,-37.2,0,0
2026-02-02T00:53:43.589655+00:00,1887561,0,11.674,-37.8,-39.5,-35.8,0,0
2026-02-02T00:54:43.594451+00:00,1887566,0,10.7,-40.3,-39.5,-40.0,0,0
2026-02-02T00:55:43.598657+00:00,1887570,0,10.7,-100,-39.5,-100,0,0
2026-02-02T00:56:43.603689+00:00,1887575,0,10.7,-39.2,-39.5,-38.1,0,0
2026-02-02T00:57:43.607738+00:00,1887580,0,11.187,-41.3,-39.5,-41.3,0,0
2026-02-02T00:58:43.612243+00:00,1887584,0,9.239,-100,-39.5,-100,0,0
2026-02-02T00:59:43.616084+00:00,1887588,0,9.726,-100,-39.5,-100,0,0
2026-02-02T01:00:43.621799+00:00,1887592,0,10.7,-41.3,-39.5,-40.8,0,0
2026-02-02T01:01:43.625605+00:00,1887597,0,11.187,-100,-39.5,-100,0,0
2026-02-02T01:02:43.630369+00:00,1887601,0,10.7,-38.4,-39.5,-37.0,0,0
2026-02-02T01:03:43.634875+00:00,1887605,0,11.187,-38.4,-39.5,-36.7,0,0
2026-02-02T01:04:43.641915+00:00,1887610,0,11.187,-38.9,-39.5,-38.9,0,0
2026-02-02T01:05:43.645801+00:00,1887614,0,10.213,-38.4,-39.5,-38.4,0,0
2026-02-02T01:06:43.650231+00:00,1887619,0,10.7,-100,-39.5,-100,0,0
2026-02-02T01:07:43.654243+00:00,1887624,0,11.187,-100,-39.5,-100,0,0
2026-02-02T01:08:43.659047+00:00,1887628,0,10.7,-38.8,-39.4,-38.8,0,0
2026-02-02T01:09:43.663169+00:00,1887632,0,11.187,-40.8,-39.4,-40.8,0,0
2026-02-02T01:10:43.670479+00:00,1887637,0,11.674,-39.5,-39.5,-38.1,0,0
