timestamp,hex,flight,squawk,emergency,lat,lon,alt_baro,alt_geom,gs,track,baro_rate,rssi,nic,rc,sil,nac_p,nav_qnh,nav_altitude_mcp,seen
2026-02-02T19:01:26.091154+00:00,502cce,BTI24X,0423,none,,,13025,,334.0,1.41,-1984,-22.2,,,0,0,1012.8,8000,0.1
2026-02-02T19:01:26.091154+00:00,4601f2,FIN455,0262,none,,,16000,,,,0,-29.4,,,0,0,1012.8,16000,0.0
2026-02-02T19:01:26.091154+00:00,682211,MGL138,7707,none,,,33050,,424.0,69.79,-128,-34.9,,,0,0,1012.8,32992,0.1
2026-02-02T19:01:26.091154+00:00,151e16,PBD264,6632,none,,,37000,,458.0,111.97,0,-29.7,,,0,0,1013.6,36992,0.3
2026-02-02T19:01:26.091154+00:00,46770f,T40A14,,none,,,,,,,,-27.5,,,,,,,0.8
2026-02-02T19:01:26.091154+00:00,4632b0,OHTFC,,none,,,,,,,,-36.5,,,,,,,52.5
2026-02-02T19:01:26.091154+00:00,7802fd,CSS111,0603,none,,,31975,,486.0,248.55,0,-31.3,,,0,0,1013.6,32000,0.1
2026-02-02T19:01:27.096077+00:00,4aca73,,,none,59.702361,23.084264,18750,18075,389.2,60.27,-2432,-35.0,8,186,2,8,1013.6,10016,0.1
2026-02-02T19:01:27.096077+00:00,461e1a,FIN50F,3510,none,,,21225,,354.0,242.4,2688,-23.3,,,0,0,1013.6,28000,0.1
2026-02-02T19:01:27.096077+00:00,4601f3,EIN5Y,,none,60.304607,24.990365,450,750,135.6,155.14,1216,-28.5,8,186,3,10,1024.8,3008,0.1
2026-02-02T19:01:27.096077+00:00,502cce,BTI24X,0423,none,,,13000,,334.0,1.41,-1984,-20.6,,,0,0,1012.8,8000,0.2
2026-02-02T19:01:27.096077+00:00,4601f2,FIN455,0262,none,,,16025,,,,64,-29.4,,,0,0,1012.8,16000,0.2
2026-02-02T19:01:27.096077+00:00,682211,MGL138,7707,none,,,33050,,424.0,69.96,-32,-33.3,,,0,0,1012.8,32992,0.2
2026-02-02T19:01:27.096077+00:00,151e16,PBD264,6632,none,,,37000,,458.0,111.97,0,-29.6,,,0,0,1013.6,36992,0.2
2026-02-02T19:01:27.096077+00:00,46770f,T40A14,,none,,,,,,,,-27.4,,,,,,,0.8
2026-02-02T19:01:27.096077+00:00,4632b0,OHTFC,,none,,,,,,,,-36.5,,,,,,,53.5
2026-02-02T19:01:27.096077+00:00,7802fd,CSS111,0603,none,,,31975,,486.0,248.55,0,-32.1,,,0,0,1013.6,32000,0.0
2026-02-02T19:01:28.101064+00:00,4aca73,SAS1716,0440,none,59.703232,23.087311,18700,18050,389.2,60.27,-2368,-34.7,8,186,2,8,1013.6,10016,0.1
2026-02-02T19:01:28.101064+00:00,461e1a,FIN50F,3510,none,,,21250,,354.0,242.4,2688,-25.2,,,0,0,1013.6,28000,0.1
2026-02-02T19:01:28.101064+00:00,4601f3,EIN5Y,,none,60.304607,24.990365,450,750,135.6,155.14,1216,-28.5,8,186,3,10,1024.8,3008,1.1
2026-02-02T19:01:28.101064+00:00,502cce,BTI24X,0423,none,,,12975,,332.0,1.41,-1984,-21.0,,,0,0,1012.8,8000,0.3
2026-02-02T19:01:28.101064+00:00,4601f2,FIN455,0262,none,,,16025,,,,64,-29.0,,,0,0,1012.8,16000,0.2
2026-02-02T19:01:28.101064+00:00,682211,MGL138,7707,none,,,33050,,424.0,69.96,-32,-32.3,,,0,0,1012.8,32992,0.0
2026-02-02T19:01:28.101064+00:00,151e16,PBD264,6632,none,,,37000,,458.0,111.97,0,-30.6,,,0,0,1013.6,36992,0.0
2026-02-02T19:01:28.101064+00:00,46770f,T40A14,,none,,,,,,,,-27.4,,,,,,,1.8
2026-02-02T19:01:28.101064+00:00,4632b0,OHTFC,,none,,,,,,,,-36.5,,,,,,,54.5
2026-02-02T19:01:28.101064+00:00,7802fd,CSS111,0603,none,,,32000,,486.0,248.55,0,-31.0,,,0,0,1013.6,32000,0.0
2026-02-02T19:01:29.106426+00:00,4aca73,SAS1716,0440,none,59.703598,23.088593,18700,18050,387.9,60.33,-2304,-34.5,8,186,2,8,1013.6,10016,0.0
2026-02-02T19:01:29.106426+00:00,461e1a,FIN50F,3510,none,,,21275,,354.0,242.4,2752,-25.8,,,0,0,1013.6,28000,0.3
2026-02-02T19:01:29.106426+00:00,4601f3,EIN5Y,,none,60.304607,24.990365,450,750,139.3,156.75,1472,-29.7,8,186,3,10,1024.8,3008,0.4
2026-02-02T19:01:29.106426+00:00,502cce,BTI24X,0423,none,,,12950,,332.0,1.58,-1984,-21.8,,,0,0,1012.8,8000,0.1
2026-02-02T19:01:29.106426+00:00,4601f2,FIN455,0262,none,,,16025,,,,64,-28.7,,,0,0,1012.8,16000,0.6
2026-02-02T19:01:29.106426+00:00,682211,MGL138,7707,none,,,33050,,424.0,70.14,32,-34.2,,,0,0,1012.8,32992,0.0
2026-02-02T19:01:29.106426+00:00,151e16,PBD264,6632,none,,,37000,,458.0,111.97,0,-30.9,,,0,0,1013.6,36992,0.2
2026-02-02T19:01:29.106426+00:00,46770f,T40A14,,none,,,,,,,,-27.4,,,,,,,0.8
2026-02-02T19:01:29.106426+00:00,4632b0,OHTFC,,none,,,,,,,,-36.5,,,,,,,55.5
2026-02-02T19:01:29.106426+00:00,7802fd,CSS111,0603,none,,,31975,,486.0,248.55,0,-32.4,,,0,0,1013.6,32000,0.6
2026-02-02T19:01:30.111471+00:00,4aca73,SAS1716,0440,none,59.704651,23.092255,18650,18000,387.9,60.33,-2368,-34.5,8,186,3,11,1013.6,10016,0.5
2026-02-02T19:01:30.111471+00:00,461e1a,FIN50F,3510,none,,,21325,,354.0,242.4,2752,-28.7,,,0,0,1013.6,28000,0.8
2026-02-02T19:01:30.111471+00:00,4601f3,EIN5Y,,none,60.30304,24.991718,525,800,139.3,156.75,1472,-28.0,8,186,2,8,1024.8,3008,0.5
2026-02-02T19:01:30.111471+00:00,502cce,BTI24X,0423,none,,,12900,,332.0,1.58,-1984,-24.7,,,0,0,1012.8,8000,0.3
2026-02-02T19:01:30.111471+00:00,4601f2,FIN455,0262,none,,,16025,,,,64,-28.3,,,0,0,1012.8,16000,0.4
2026-02-02T19:01:30.111471+00:00,682211,MGL138,7707,none,,,33050,,424.0,70.14,32,-34.2,,,0,0,1012.8,32992,0.8
2026-02-02T19:01:30.111471+00:00,151e16,PBD264,6632,none,,,37000,,458.0,111.97,0,-30.9,,,0,0,1013.6,36992,0.1
2026-02-02T19:01:30.111471+00:00,46770f,T40A14,,none,,,,,,,,-27.4,,,,,,,1.8
2026-02-02T19:01:30.111471+00:00,4632b0,OHTFC,,none,,,,,,,,-36.5,,,,,,,56.5
2026-02-02T19:01:30.111471+00:00,7802fd,CSS111,0603,none,,,31975,,486.0,248.55,0,-33.5,,,0,0,1013.6,32000,0.2
2026-02-02T19:01:31.116438+00:00,4aca73,SAS1716,0440,none,59.705383,23.094727,18600,17950,387.9,60.33,-2432,-34.0,8,186,3,11,1013.6,10016,0.4
2026-02-02T19:01:31.116438+00:00,461e1a,FIN50F,3510,none,,,21325,,354.0,242.4,2752,-28.7,,,0,0,1013.6,28000,1.8
2026-02-02T19:01:31.116438+00:00,4601f3,EIN5Y,6026,none,60.30304,24.991718,525,800,139.3,156.75,1472,-28.0,8,186,2,8,1024.8,3008,1.5
2026-02-02T19:01:31.116438+00:00,502cce,BTI24X,0423,none,,,12875,,332.0,1.58,-1984,-24.2,,,0,0,1012.8,8000,0.1
2026-02-02T19:01:31.116438+00:00,4601f2,FIN455,0262,none,,,16025,,,,0,-29.3,,,0,0,1012.8,16000,0.2
