timestamp,messages_total,aircraft_tracked,cpu_temp,signal_level,noise_level,peak_signal,max_distance,samples_dropped
timestamp,messages_total,aircraft_tracked,cpu_temp,signal_level,noise_level,peak_signal,max_distance,samples_dropped
2026-02-02T00:00:53.187112+00:00,2691317,7,40.407,-22.2,-40.7,-15.8,0,0
2026-02-02T00:01:53.192102+00:00,2693388,7,40.894,-20.9,-40.3,-14.2,307271,0
2026-02-02T00:02:53.195946+00:00,2695469,6,40.407,-22.6,-40.8,-12.1,302739,0
2026-02-02T00:03:53.200528+00:00,2697505,6,40.407,-22.3,-40.5,-14.1,291830,0
2026-02-02T00:04:53.204743+00:00,2699575,5,40.407,-23.2,-40.6,-14.8,281209,0
2026-02-02T00:05:53.215296+00:00,2701548,6,40.407,-23.2,-40.7,-14.0,296297,0
2026-02-02T00:06:53.220693+00:00,2703565,6,40.407,-24.6,-41.0,-16.5,292471,0
2026-02-02T00:07:53.225862+00:00,2705516,5,41.381,-23.2,-41.0,-17.3,281615,0
2026-02-02T00:08:53.230494+00:00,2707287,6,39.92,-21.2,-40.8,-15.3,273336,0
2026-02-02T00:09:53.236379+00:00,2709022,6,39.92,-21.4,-40.9,-14.6,265992,0
2026-02-02T00:10:53.240301+00:00,2710728,7,40.407,-23.0,-41.1,-16.1,257094,0
2026-02-02T00:11:53.245809+00:00,2712478,7,40.407,-25.6,-41.4,-18.8,248561,0
2026-02-02T00:12:53.249683+00:00,2714270,7,39.92,-25.3,-41.4,-20.2,240834,0
2026-02-02T00:13:53.254348+00:00,2716111,7,40.407,-24.5,-41.3,-17.9,230991,0
2026-02-02T00:14:53.258446+00:00,2717873,6,40.894,-23.1,-41.2,-16.3,104172,0
2026-02-02T00:15:53.263484+00:00,2719631,6,40.894,-21.9,-41.0,-15.8,94350,0
2026-02-02T00:16:53.268678+00:00,2721400,6,40.894,-20.5,-40.9,-15.6,0,0
2026-02-02T00:17:53.273484+00:00,2723259,6,40.894,-20.4,-40.8,-14.6,75112,0
2026-02-02T00:18:53.277479+00:00,2725169,6,40.894,-21.0,-40.9,-15.6,67235,0
2026-02-02T00:19:53.282589+00:00,2727074,5,40.407,-20.9,-40.7,-15.1,59896,0
2026-02-02T00:20:53.286461+00:00,2729091,5,40.894,-21.2,-40.8,-16.0,52251,0
2026-02-02T00:21:53.290705+00:00,2731226,5,40.407,-20.9,-40.6,-16.2,44858,0
2026-02-02T00:22:53.294709+00:00,2733370,4,41.868,-20.5,-40.5,-14.7,38628,0
2026-02-02T00:23:53.304152+00:00,2735499,5,40.894,-21.7,-40.7,-16.7,33604,0
2026-02-02T00:24:53.308190+00:00,2737585,5,40.894,-21.5,-40.8,-16.7,29214,0
