timestamp,hex,flight,squawk,emergency,lat,lon,alt_baro,alt_geom,gs,track,baro_rate,rssi,nic,rc,sil,nac_p,nav_qnh,nav_altitude_mcp,seen
2026-02-02T20:09:11.324651+00:00,4677af,TRK102,,none,60.317379,24.956415,ground,,3.2,45.0,,-26.0,10,25,2,10,,,0.9
2026-02-02T20:09:11.324651+00:00,4601f3,FIN27H,0432,none,60.331055,24.957054,ground,,24.5,,,-15.2,8,186,3,10,1025.1,3904,0.1
2026-02-02T20:09:11.324651+00:00,467717,MR5,,none,60.315193,24.95883,ground,,13.2,45.0,,-26.4,10,25,2,10,,,0.1
2026-02-02T20:09:11.324651+00:00,461f64,FIN8ZR,6025,none,60.317932,24.962409,ground,,5.8,,,-15.7,8,186,3,9,1025.0,2000,0.0
2026-02-02T20:09:11.324651+00:00,4aca73,SAS1717,6013,none,60.436203,24.974007,,10725,330.7,241.65,3008,-29.0,6,926,3,8,1013.6,28000,0.0
2026-02-02T20:09:11.324651+00:00,502cce,BTI2PG,6021,none,60.367859,25.061425,5325,5200,169.2,47.64,2400,-22.3,8,186,3,10,1012.8,28000,0.1
2026-02-02T20:09:11.324651+00:00,4b3871,HCX71,6034,none,,,27975,,356.0,358.42,1408,-28.1,,,0,0,1013.6,40000,0.1
2026-02-02T20:09:11.324651+00:00,781caa,,,none,58.483429,25.750093,39000,37750,492.2,70.17,0,-38.2,0,0,0,0,,,0.1
2026-02-02T20:09:11.324651+00:00,467527,,,none,,,,,,,,-13.0,,,,,,,0.0
2026-02-02T20:09:11.324651+00:00,4677f2,T40A04,,none,,,,,,,,-28.1,,,,,,,0.0
2026-02-02T20:09:11.324651+00:00,4677fd,TTN,2000,none,,,ground,,,,,-19.1,,,,,,,0.1
2026-02-02T20:09:11.324651+00:00,4677f4,T40A06,,none,,,,,,,,-16.5,,,,,,,0.0
2026-02-02T20:09:11.324651+00:00,467525,,,none,,,,,,,,-18.9,,,,,,,0.0
2026-02-02T20:09:11.324651+00:00,46770f,T40A14,,none,,,,,,,,-14.2,,,,,,,0.0
2026-02-02T20:09:11.324651+00:00,467524,,,none,,,,,,,,-10.5,,,,,,,0.0
2026-02-02T20:09:11.324651+00:00,467529,,,none,,,,,,,,-12.7,,,,,,,0.0
2026-02-02T20:09:11.324651+00:00,467523,,,none,,,,,,,,-13.6,,,,,,,0.0
2026-02-02T20:09:11.324651+00:00,151ff1,AFL1011,6633,none,,,35050,,434.0,95.27,0,-35.9,,,0,0,1012.8,35008,0.0
2026-02-02T20:09:11.324651+00:00,461f4a,FIN144,6130,none,,,13750,,,,-832,-29.5,,,0,0,1013.6,8000,0.0
2026-02-02T20:09:11.324651+00:00,461fa2,FIN81C,,none,,,17850,,,,-1120,-38.2,,,,,,,8.0
2026-02-02T20:09:11.324651+00:00,4aca87,NSZ2885,2306,none,,,32375,31100,400.3,59.53,-1664,-38.2,,,2,8,1013.2,10000,8.0
2026-02-02T20:09:11.324651+00:00,7800eb,,,none,,,35000,,,,,-38.2,,,,,,,0.1
2026-02-02T20:09:11.324651+00:00,461fa4,,,none,,,,,,,64,-38.2,,,,,,,0.1
2026-02-02T20:09:12.337348+00:00,461faa,,7142,none,59.172968,21.313192,39000,37650,442.5,58.68,0,-37.9,8,186,2,8,,,1.1
2026-02-02T20:09:12.337348+00:00,494117,NJE362W,2027,none,59.483917,22.316437,24850,23900,412.2,60.01,-2240,-38.2,8,186,2,8,1012.8,10016,1.1
2026-02-02T20:09:12.337348+00:00,4601f7,FIN3EA,0466,none,60.488983,22.900433,17000,16350,278.6,93.7,-64,-34.6,8,186,3,10,1012.8,10016,0.0
