timestamp,messages_total,aircraft_tracked,cpu_temp,signal_level,noise_level,peak_signal,max_distance,samples_dropped
timestamp,messages_total,aircraft_tracked,cpu_temp,signal_level,noise_level,peak_signal,max_distance,samples_dropped
2026-02-02T00:00:51.517879+00:00,120735143,0,37.485,-12.3,-43.4,-9.1,7130,9043968
2026-02-02T00:01:51.523191+00:00,120798408,0,35.537,-12.4,-43.4,-9.2,5806,16056320
2026-02-02T00:02:51.530307+00:00,120869108,0,37.485,-12.4,-43.4,-9.1,7309,15794176
2026-02-02T00:03:51.534284+00:00,120947645,0,37.972,-12.4,-43.3,-9.2,7256,10485760
2026-02-02T00:04:51.538345+00:00,121020062,0,36.511,-12.4,-43.4,-9.2,7402,21757952
2026-02-02T00:05:51.544845+00:00,121085685,0,36.511,-12.4,-43.4,-9.3,7356,19136512
2026-02-02T00:06:51.554237+00:00,121157350,0,38.946,-12.6,-43.4,-9.3,160948,13041664
2026-02-02T00:07:51.564097+00:00,121231903,0,37.485,-13.0,-43.4,-9.4,159922,17301504
2026-02-02T00:08:51.572667+00:00,121322694,0,38.459,-13.2,-43.4,-9.3,147515,20447232
2026-02-02T00:09:51.576845+00:00,121391524,0,38.946,-13.1,-43.1,-9.4,134992,17891328
2026-02-02T00:10:51.584690+00:00,121458006,0,37.485,-13.3,-43.3,-9.3,241803,17760256
2026-02-02T00:11:51.588683+00:00,121529694,0,36.511,-13.6,-43.2,-9.4,240829,16187392
2026-02-02T00:12:51.596165+00:00,121600272,0,36.998,-13.6,-43.4,-9.5,231848,14286848
2026-02-02T00:13:51.636725+00:00,121670779,0,36.511,-13.9,-43.3,-9.4,223865,16449536
2026-02-02T00:14:51.640672+00:00,121742207,0,37.485,-13.6,-43.4,-9.4,84611,19857408
2026-02-02T00:15:51.644991+00:00,121807194,0,36.998,-14.0,-43.3,-9.0,73294,17629184
2026-02-02T00:16:51.649020+00:00,121868906,0,36.998,-12.9,-43.3,-9.4,64692,17760256
2026-02-02T00:17:51.654061+00:00,121950351,0,38.459,-12.9,-43.4,-8.6,54516,18153472
2026-02-02T00:18:51.666824+00:00,122008921,0,36.024,-13.3,-43.4,-9.0,45611,17039360
2026-02-02T00:19:51.673259+00:00,122078881,0,37.485,-13.4,-43.3,-8.8,37620,11206656
2026-02-02T00:20:51.677550+00:00,122152477,0,39.433,-13.3,-43.3,-9.3,33292,19005440
2026-02-02T00:21:51.684302+00:00,122218663,0,36.998,-13.5,-43.1,-9.3,24006,18481152
2026-02-02T00:22:51.688593+00:00,122287268,0,37.485,-13.4,-43.0,-9.3,18693,19726336
2026-02-02T00:23:51.692572+00:00,122359747,0,37.485,-13.4,-43.0,-9.3,12949,19595264
2026-02-02T00:24:51.697138+00:00,122428209,0,37.485,-12.9,-42.0,-4.6,9789,17367040
2026-02-02T00:25:51.702430+00:00,122490286,0,36.511,-11.4,-40.1,-3.2,5143,13631488
2026-02-02T00:26:51.706565+00:00,122549571,0,36.024,-12.3,-42.0,-5.1,5002,19070976
2026-02-02T00:27:51.712445+00:00,122619024,0,37.972,-12.8,-43.4,-9.3,6079,13762560
2026-02-02T00:28:51.721212+00:00,122698151,0,36.511,-12.8,-43.2,-9.4,6519,23592960
2026-02-02T00:29:51.725124+00:00,122775536,0,36.511,-12.9,-43.4,-9.3,6681,13565952
2026-02-02T00:30:51.730151+00:00,122842118,0,37.972,-13.0,-43.4,-9.4,6988,14680064
2026-02-02T00:31:51.737427+00:00,122906875,0,38.459,-12.8,-43.2,-9.3,7175,12910592
2026-02-02T00:32:51.745054+00:00,122979974,0,35.537,-12.9,-43.1,-9.2,7160,16711680
2026-02-02T00:33:51.750789+00:00,123034913,0,36.511,-13.1,-43.3,-9.0,7091,15925248
2026-02-02T00:34:51.756623+00:00,123124100,0,36.024,-12.5,-43.5,-9.4,0,15466496
2026-02-02T00:35:51.762901+00:00,123182878,0,36.511,-12.4,-42.4,-9.3,0,12648448
2026-02-02T00:36:51.768755+00:00,123238629,0,36.511,-12.4,-43.5,-9.2,0,9109504
2026-02-02T00:37:51.772884+00:00,123294564,0,35.05,-12.4,-43.5,-9.3,0,15532032
2026-02-02T00:38:51.777026+00:00,123371580,0,35.05,-12.4,-43.5,-9.3,0,20774912
2026-02-02T00:39:51.782949+00:00,123440629,0,36.024,-12.4,-43.4,-9.3,0,13107200
2026-02-02T00:40:51.787020+00:00,123508176,0,36.998,-12.4,-43.2,-9.3,7640,11730944
2026-02-02T00:41:51.795664+00:00,123587080,0,38.946,-12.4,-43.5,-9.2,7640,8847360
2026-02-02T00:42:51.802547+00:00,123647265,0,38.459,-12.4,-43.2,-9.2,7481,13828096
2026-02-02T00:43:51.813170+00:00,123721404,0,37.972,-12.4,-42.2,-7.6,7241,15466496
2026-02-02T00:44:51.819305+00:00,123787932,0,36.511,-12.4,-43.5,-9.3,6939,22937600
2026-02-02T00:45:51.824031+00:00,123865882,0,36.024,-12.6,-43.3,-9.3,7106,27852800
2026-02-02T00:46:51.828258+00:00,123937670,0,36.024,-12.4,-43.1,-9.2,7187,15532032
2026-02-02T00:47:51.835588+00:00,124006303,0,38.459,-13.0,-43.4,-9.1,8409,16121856
2026-02-02T00:48:51.850407+00:00,124073938,0,37.485,-13.0,-43.2,-9.3,7304,18284544
2026-02-02T00:49:51.857088+00:00,124148396,0,36.511,-13.0,-42.9,-8.9,7082,14024704
2026-02-02T00:50:51.861745+00:00,124203258,0,36.511,-13.0,-43.2,-9.2,9871,14745600
2026-02-02T00:51:51.865745+00:00,124282837,0,36.998,-13.2,-43.5,-9.2,11286,22085632
2026-02-02T00:52:51.873762+00:00,124341469,0,36.998,-12.9,-43.5,-9.3,11270,11468800
2026-02-02T00:53:51.878326+00:00,124405424,0,36.024,-12.5,-43.5,-9.3,10889,8323072
2026-02-02T00:54:51.883726+00:00,124467178,0,36.998,-12.5,-43.4,-9.3,6688,14745600
2026-02-02T00:55:51.887701+00:00,124558184,0,38.459,-12.5,-42.7,-8.6,6526,14024704
2026-02-02T00:56:51.891824+00:00,124608005,0,36.511,-12.5,-43.4,-9.3,6554,19070976
2026-02-02T00:57:51.896321+00:00,124683662,0,37.485,-12.4,-43.5,-9.3,6978,17104896
2026-02-02T00:58:51.901715+00:00,124740581,0,36.511,-12.4,-43.5,-9.2,7093,9043968
2026-02-02T00:59:51.910749+00:00,124814856,0,39.433,-12.5,-43.5,-9.3,7189,10485760
2026-02-02T01:00:51.917046+00:00,124877452,0,35.05,-12.4,-43.5,-9.3,7149,12910592
2026-02-02T01:01:51.921125+00:00,124951280,0,37.485,-12.5,-43.4,-9.4,6837,19529728
2026-02-02T01:02:51.926657+00:00,125027714,0,36.998,-12.5,-43.4,-9.3,7170,12910592
2026-02-02T01:03:51.930631+00:00,125090402,0,35.05,-12.5,-43.5,-9.3,7436,16973824
2026-02-02T01:04:51.936353+00:00,125154046,0,35.05,-12.5,-43.5,-9.3,7628,12910592
2026-02-02T01:05:51.944929+00:00,125226043,0,36.511,-12.5,-43.5,-9.2,0,17301504
2026-02-02T01:06:51.949047+00:00,125304716,0,37.485,-12.5,-43.4,-9.3,0,17825792
2026-02-02T01:07:51.963975+00:00,125382696,0,36.024,-12.8,-43.4,-9.3,0,18415616
2026-02-02T01:08:51.970624+00:00,125447131,0,37.485,-12.8,-43.5,-8.8,0,12976128
2026-02-02T01:09:51.975311+00:00,125522128,0,35.537,-12.9,-43.4,-9.3,0,16646144
2026-02-02T01:10:51.986315+00:00,125584128,0,37.485,-13.3,-43.4,-9.3,0,10289152
2026-02-02T01:11:51.996028+00:00,125652834,0,36.024,-13.3,-43.5,-9.2,0,15400960
2026-02-02T01:12:52.001040+00:00,125727548,0,36.998,-13.4,-43.4,-9.3,0,13893632
2026-02-02T01:13:52.005472+00:00,125807975,0,36.511,-13.4,-43.4,-9.3,0,22937600
2026-02-02T01:14:52.014063+00:00,125883856,0,36.511,-13.4,-43.4,-9.3,7633,17301504
2026-02-02T01:15:52.018441+00:00,125958788,0,37.485,-13.3,-43.4,-9.2,7399,17235968
2026-02-02T01:16:52.026509+00:00,126033827,0,38.459,-13.4,-43.1,-8.4,7212,12124160
2026-02-02T01:17:52.030480+00:00,126105365,0,38.946,-13.4,-43.2,-9.0,7147,17891328
2026-02-02T01:18:52.035879+00:00,126172765,0,36.998,-13.4,-43.3,-9.3,6843,20512768
2026-02-02T01:19:52.040012+00:00,126253676,0,38.459,-13.4,-43.4,-9.0,6442,19398656
2026-02-02T01:20:52.044384+00:00,126321353,0,37.485,-13.4,-43.4,-9.2,6209,17235968
2026-02-02T01:21:52.050930+00:00,126396496,0,37.485,-13.2,-43.2,-7.3,6560,10092544
2026-02-02T01:22:52.054955+00:00,126456592,0,36.024,-13.0,-42.6,-7.4,6754,21757952
2026-02-02T01:23:52.059895+00:00,126529797,0,35.537,-13.0,-43.1,-9.2,6906,13303808
2026-02-02T01:24:52.065713+00:00,126601944,0,39.92,-12.9,-42.9,-9.3,6906,14024704
2026-02-02T01:25:52.077437+00:00,126681726,0,37.485,-12.8,-42.9,-9.3,15118,19070976
2026-02-02T01:26:52.081400+00:00,126745394,0,38.459,-12.9,-43.0,-9.3,15984,19464192
2026-02-02T01:27:52.087672+00:00,126816539,0,36.024,-13.0,-43.2,-9.3,15404,17891328
2026-02-02T01:28:52.092857+00:00,126884920,0,36.998,-12.9,-42.9,-9.1,14767,10551296
2026-02-02T01:29:52.096886+00:00,126952058,0,36.511,-13.1,-42.4,-8.9,11021,22872064
2026-02-02T01:30:52.101123+00:00,127016024,0,36.511,-11.1,-39.3,-3.1,11686,16515072
2026-02-02T01:31:52.107563+00:00,127075966,0,36.511,-12.3,-41.0,-2.9,12764,10289152
2026-02-02T01:32:52.113070+00:00,127145035,0,38.946,-13.3,-42.9,-9.3,14106,22020096
2026-02-02T01:33:52.123572+00:00,127211017,0,36.511,-13.3,-43.1,-9.3,14711,19660800
2026-02-02T01:34:52.128864+00:00,127278347,0,36.511,-13.2,-43.1,-9.2,14490,16908288
2026-02-02T01:35:52.133016+00:00,127344023,0,36.511,-13.3,-43.2,-8.9,11379,8650752
2026-02-02T01:36:52.136966+00:00,127410169,0,36.998,-13.3,-43.2,-8.9,9708,18153472
2026-02-02T01:37:52.141276+00:00,127473452,0,36.998,-13.1,-42.9,-7.9,8177,15990784
2026-02-02T01:38:52.145800+00:00,127555233,0,37.485,-13.1,-42.5,-9.2,8281,26738688
2026-02-02T01:39:52.150406+00:00,127626761,0,36.998,-12.7,-42.8,-9.3,8366,12976128
2026-02-02T01:40:52.156316+00:00,127692478,0,38.459,-12.6,-43.2,-8.5,8366,15794176
2026-02-02T01:41:52.163069+00:00,127758790,0,36.998,-12.5,-43.3,-9.3,7054,14876672
2026-02-02T01:42:52.167485+00:00,127818307,0,36.998,-12.4,-43.5,-9.2,7054,13041664
2026-02-02T01:43:52.172456+00:00,127892788,0,36.024,-12.4,-43.5,-9.3,0,11075584
2026-02-02T01:44:52.182841+00:00,127953719,0,35.537,-12.4,-43.4,-9.3,0,14548992
2026-02-02T01:45:52.188725+00:00,128033614,0,36.024,-12.4,-43.5,-9.3,0,17825792
2026-02-02T01:46:52.192694+00:00,128114114,0,38.459,-12.4,-43.5,-9.3,0,12845056
2026-02-02T01:47:52.200141+00:00,128183443,0,38.459,-12.4,-43.4,-7.7,0,14221312
2026-02-02T01:48:52.205942+00:00,128253397,0,37.485,-12.4,-43.5,-9.3,0,15466496
2026-02-02T01:49:52.210015+00:00,128323544,0,37.485,-12.3,-43.3,-8.5,0,13959168
2026-02-02T01:50:52.216090+00:00,128408010,0,36.998,-12.4,-43.4,-9.2,0,10616832
2026-02-02T01:51:52.221891+00:00,128464040,0,36.511,-12.4,-43.4,-9.2,0,16384000
2026-02-02T01:52:52.230539+00:00,128523620,0,37.972,-12.4,-43.5,-9.2,0,7667712
2026-02-02T01:53:52.234748+00:00,128584226,0,38.459,-12.4,-43.5,-9.2,0,8585216
2026-02-02T01:54:52.242101+00:00,128654935,0,36.511,-12.5,-43.5,-9.3,100973,11730944
2026-02-02T01:55:52.246219+00:00,128721336,0,35.537,-12.7,-43.4,-9.2,105573,16515072
2026-02-02T01:56:52.252120+00:00,128780689,0,35.05,-12.6,-43.5,-9.3,113749,18481152
2026-02-02T01:57:52.258962+00:00,128833520,0,36.024,-12.7,-43.4,-8.8,120642,9175040
2026-02-02T01:58:52.265025+00:00,128910805,0,37.485,-12.8,-43.4,-9.2,130649,13697024
2026-02-02T01:59:52.281183+00:00,128974145,0,35.05,-12.8,-43.4,-9.3,139045,18022400
2026-02-02T02:00:52.286916+00:00,129038540,0,35.537,-12.7,-43.4,-9.3,144816,14286848
2026-02-02T02:01:52.291895+00:00,129109755,0,36.511,-12.5,-43.4,-9.2,0,15532032
2026-02-02T02:02:52.298769+00:00,129191613,0,36.998,-12.4,-43.4,-9.2,0,15794176
2026-02-02T02:03:52.303425+00:00,129252584,0,35.05,-12.4,-43.2,-9.1,0,16252928
2026-02-02T02:04:52.310636+00:00,129333186,0,35.537,-12.4,-43.2,-9.2,209362,18939904
2026-02-02T02:05:52.314791+00:00,129421415,0,35.537,-12.7,-43.4,-9.2,209362,12386304
2026-02-02T02:06:52.318662+00:00,129486625,0,38.459,-13.3,-43.3,-9.2,198518,20578304
2026-02-02T02:07:52.332694+00:00,129565382,0,38.459,-13.7,-43.3,-9.2,181850,18415616
2026-02-02T02:08:52.345360+00:00,129625104,0,35.05,-13.5,-43.4,-9.2,170535,17367040
2026-02-02T02:09:52.349479+00:00,129702456,0,39.433,-13.1,-43.3,-9.2,155054,13369344
2026-02-02T02:10:52.361865+00:00,129757089,0,36.511,-13.6,-43.3,-9.1,141991,18153472
2026-02-02T02:11:52.369479+00:00,129825286,0,36.511,-13.5,-43.2,-7.1,128880,15990784
2026-02-02T02:12:52.376135+00:00,129893797,0,36.998,-14.4,-43.3,-9.0,118306,17170432
2026-02-02T02:13:52.381691+00:00,129967310,0,37.972,-14.2,-43.3,-9.2,107981,15990784
2026-02-02T02:14:52.387294+00:00,130028909,0,37.485,-13.7,-43.3,-9.2,96550,18087936
2026-02-02T02:15:52.399520+00:00,130107762,0,38.459,-13.9,-43.3,-9.3,86194,16515072
2026-02-02T02:16:52.407015+00:00,130177168,0,36.511,-14.0,-43.3,-9.2,74389,18219008
2026-02-02T02:17:52.411428+00:00,130252060,0,36.998,-14.5,-42.3,-6.9,67042,15990784
2026-02-02T02:18:52.416589+00:00,130319690,0,38.459,-15.0,-43.0,-7.8,58410,20578304
2026-02-02T02:19:52.421429+00:00,130386294,0,35.05,-15.3,-42.3,-7.0,48786,17629184
2026-02-02T02:20:52.425356+00:00,130458137,0,36.998,-15.1,-43.2,-7.2,41057,21561344
2026-02-02T02:21:52.430951+00:00,130531124,0,36.998,-14.9,-43.1,-8.1,36424,19267584
2026-02-02T02:22:52.435030+00:00,130605594,0,37.485,-15.1,-42.5,-8.4,26801,21299200
2026-02-02T02:23:52.446337+00:00,130700538,0,37.485,-15.6,-42.8,-6.1,19501,34078720
2026-02-02T02:24:52.453736+00:00,130806243,0,38.459,-15.7,-42.3,-9.1,13563,35782656
2026-02-02T02:25:52.457912+00:00,130888671,0,38.459,-14.2,-41.6,-5.3,10186,25231360
2026-02-02T02:26:52.472332+00:00,130967757,0,38.946,-12.5,-38.6,-3.0,6295,22413312
